116.93	40.03	16	1.5
118.75	39.68	10	1.5
118.06	39.43	8	1.6
116.03	38.98	10	1.7
118.33	39.68	10	2.1
118.65	39.71	0	1.6
119.01	39.63	10	1.5
118.38	39.7	5	1.9
118.41	39.66	5	1.5
119.46	39.13	29	2
118.71	39.73	1	2.3
118.66	39.73	18	2.8
118.71	39.75	9	1.8
118.73	39.76	13	2.2
118.4	39.71	10	1.6
118.2	39.63	11	2.2
118.93	40	18	1.7
118.8	39.7	9	2.3
118.45	39.63	18	2.7
118.71	39.73	0	1.9
118.83	39.95	3	1.6
118.91	39.98	8	1.5
118.88	39.96	9	1.9
118.88	39.96	10	2.5
118.88	39.96	9	2
118.91	39.96	10	1.8
118.9	39.96	9	2.7
118.88	40	17	4.3
117.76	39.63	20	2.4
118.63	39.68	0	1.6
114.61	39.28	10	1.7
116.76	38.96	22	2.4
116.78	39.86	8	1.8
118.35	39.63	6	1.8
117.36	39.88	18	1.5
118.41	39.71	5	1.6
118.36	39.68	17	1.7
119.88	39.13	10	2.1
118.2	39.61	10	1.9
118.33	39.68	10	1.7
119.18	39.88	10	1.7
115.6	40.55	21	1.6
114.03	40.56	4	1.5
114.68	39.96	29	1.5
114.71	40.03	29	2.1
116.68	39.16	10	1.5
115.43	39.33	10	1.5
114.71	40.01	10	2.1
116.08	38.66	9	1.5
114.35	38.71	13	1.5
114.23	39.5	10	1.5
114.68	40.03	9	1.3
114.21	39.85	28	2.1
117.16	40.33	16	2.2
119.75	39.63	21	1.5
117.35	39.98	9	1.5
118.35	39.7	10	2.7
119.23	39.9	20	2.1
114.68	39.98	17	1.5
118.83	39.46	9	1.5
116.65	39.13	29	2.4
114.68	40.03	9	2
114.63	39.96	10	1.5
118.48	39.78	14	2.1
119.66	40.13	13	1.5
118.46	39.78	11	1.5
118.06	39.48	12	2
118.13	39.5	8	3.3
118.13	39.5	8	3.3
115.43	40.26	19	2.2
117.41	39.71	23	2.2
115.41	39.31	30	2.1
118.13	39.86	10	1.6
118.65	39.76	14	1.8
118.36	39.66	2	1.9
114.06	40.41	4	1.5
115.58	38.86	9	1.8
117.31	39.1	24	1.6
118.65	39.73	9	1.5
114.65	39.98	10	1.8
115.38	39.31	9	1.5
118.03	39.38	10	1.6
114.68	39.98	9	2
114.63	39.96	2	1.5
114.68	39.98	10	1.7
114.68	40	25	3.7
114.7	40.03	10	1.7
114.68	38.56	10	2.1
118.41	39.73	10	1.5
119.05	39.61	12	1.8
114.48	38.85	5	1.7
115.68	39.93	10	1.6
118.58	38.76	10	2.6
118.58	38.76	10	2.6
118.23	40.95	25	1.8
118.78	38.5	10	2.3
114.33	39.81	9	1.9
116.65	39.26	9	2.2
118.51	39.73	12	2.8
118.51	39.73	12	2.8
118.41	39.73	11	2.6
118.41	39.73	11	2.6
116.05	39.96	13	1.8
116.56	40.48	14	1.5
117.81	39.35	10	1.5
